441.,956.,55.9,21.85,34.8,562.,0.,0.,100.
217.4,1216.,55.2,95.9,40.8,1057.,0.,0.,150.
158.,1200.,66.7,167.6,55.9,1330.,0.,0.,200.
617.,1742.,64.6,34.6,38.1,647.,0.,66.,100.
287.,2553.,73.1,136.,45.9,1951.,0.,66.,150.
185.7,2042.,101.6,291.,68.3,2554.,0.,66.,200.
1302.,3230.,82.5,53.,40.7,535.,0.,133.,100.
332.,7550.,85.7,327.,50.3,4510.,0.,133.,150.
159.7,3250.,109.3,681.,76.4,6190.,0.,133.,200.
273.,2006.,214.7,26.21,32.,3.36,0.,200.,100.
176.8,52500.,86.3,1023.,59.,11010.,0.,200.,150.
103.6,2059.,101.7,3110.,88.9,20970.,0.,200.,200.
210.9,1400.,69.9,74.1,43.4,431.,66.,0.,100.
149.1,1711.,81.,257.8,70.8,854.,66.,0.,150.
166.4,1552.,103.1,509.,71.6,1102.,66.,0.,200.
264.,2343.,90.5,108.1,46.4,457.,66.,66.,100.
155.9,3120.,107.2,565.,80.6,1165.,66.,66.,150.
174.8,2386.,150.2,860.,87.9,1784.,66.,66.,200.
157.9,2104.,105.5,107.2,39.6,106.,66.,133.,100.
135.8,6470.,113.5,2037.,72.2,1030.,66.,133.,150.
136.7,3800.,151.8,2670.,69.8,2389.,66.,133.,200.
56.7,24.2,96.6,30.4,32.4,2.64,66.,200.,100.
92.4,2370.,1032.,2321.,64.9,5.51,66.,200.,150.
87.3,1411.,140.1,2606.,74.8,635.,66.,200.,200.
124.,1257.,83.4,218.7,78.6,299.3,133.,0.,100.
183.5,1486.,99.8,448.,131.1,440.,133.,0.,150.
184.8,1318.,117.5,567.,123.8,700.,133.,0.,200.
90.,903.,115.4,239.2,56.1,82.1,133.,66.,100.
142.7,2134.,135.3,755.,98.4,436.,133.,66.,150.
148.7,1598.,167.,901.,98.1,767.,133.,66.,200.
59.,52.1,106.9,23.14,38.2,3.77,133.,133.,100.
111.3,1965.,409.,1280.,84.2,106.4,133.,133.,150.
110.2,1370.,171.8,1278.,86.7,386.,133.,133.,200.
35.4,31.4,96.2,17.18,27.2,2.46,133.,200.,100.
71.,29.3,120.1,27.3,63.6,4.9,133.,200.,150.
69.5,113.5,186.9,234.9,71.1,13.68,133.,200.,200.
103.3,526.,164.7,179.,131.6,66.9,200.,0.,100.
169.3,1080.,202.5,465.,249.4,235.7,200.,0.,150.
170.6,1009.,166.3,567.,198.3,268.8,200.,0.,200.
51.8,96.3,133.,44.8,47.,6.33,200.,66.,100.
96.5,1074.,225.1,581.,125.6,124.8,200.,66.,150.
87.3,853.,182.3,576.,125.1,212.8,200.,66.,200.
35.5,44.6,106.,20.51,29.8,4.34,200.,133.,100.
69.2,220.,203.2,197.3,77.,10.99,200.,133.,150.
64.8,439.,199.7,439.,85.1,57.4,200.,133.,200.
26.13,26.71,85.,15.28,22.77,4.4,200.,200.,100.
44.5,31.4,117.8,27.7,53.9,9.08,200.,200.,150.
42.6,49.5,132.8,55.6,65.3,9.76,200.,200.,200.